id,carat,cut,cut_ord,color,clarity,clarity_ord,price,retail_price,company_price,,Linear Regression model - provides an equation to use to predict the prices.,
62,0.7,Very Good,3,I,VVS1,7,2513,4272.4,1281.72,,,
63,0.4,Very Good,3,E,VVS2,6,1075,1294.5,388.35,,,
64,0.58,Ideal,5,F,SI1,3,1401,1763.04,528.912,,,
65,1.01,Premium,4,E,SI1,3,5656,5222.53,1566.759,,,
66,1.3,Premium,4,F,SI1,3,8164,7662.3,2298.69,,,
67,0.34,Ideal,5,D,I1,1,413,-1164.08,-349.224,,,
68,0.33,Ideal,5,E,VVS2,6,802,1021.79,306.537,,,
69,1.22,Premium,4,E,SI2,2,6121,6535.26,1960.578,,,
70,0.26,Ideal,5,F,VS1,4,452,-475.12,-142.536,,,
71,0.57,Premium,4,I,VVS1,7,1608,3336.81,1001.043,,,
72,1.01,Premium,4,F,SI2,2,4137,4768.53,1430.559,,,
73,0.31,Ideal,5,H,VS1,4,544,-54.47,-16.341,,,
74,1.01,Ideal,5,J,VS2,5,4617,6288.63,1886.589,,,
75,0.51,Fair,1,H,VS1,4,1234,995.73,298.719,,,
76,0.42,Ideal,5,D,VVS2,6,1210,1778.96,533.688,,,
77,0.31,Very Good,3,I,SI1,3,408,-824.67,-247.401,,,
78,0.28,Very Good,3,F,VVS1,7,642,738.94,221.682,,,
79,0.42,Very Good,3,G,VS2,5,854,1008.76,302.628,,,
80,0.5,Ideal,5,E,SI1,3,1555,1090,327,,,
81,0.79,Ideal,5,E,VS1,4,4240,3983.77,1195.131,,,
82,1.03,Ideal,5,G,SI2,2,4928,5094.89,1528.467,,,
83,0.73,Ideal,5,G,VVS1,7,4182,4840.99,1452.297,,,
84,1.01,Very Good,3,D,SI2,2,4606,4610.43,1383.129,,,
85,1.12,Ideal,5,G,VS2,5,6774,7214.06,2164.218,,,
86,2.01,Premium,4,I,VS2,5,17826,14543.53,4363.059,,,
87,0.36,Ideal,5,E,VS2,5,718,820.18,246.054,,,
88,1,Fair,1,H,VS1,4,5460,5118.1,1535.43,,,
89,1.51,Good,2,G,VS2,5,11640,10020.83,3006.249,,,
90,0.8,Very Good,3,E,SI1,3,3293,3297.7,989.31,,,
91,0.53,Premium,4,F,VS2,5,1753,2092.29,627.687,,,
92,2.09,Very Good,3,I,VS1,4,18215,14604.47,4381.341,,,
93,1.01,Fair,1,G,SI1,3,4004,4748.23,1424.469,,,
94,0.58,Premium,4,I,VVS1,7,1636,3420.94,1026.282,,,
95,0.7,Very Good,3,D,VS1,4,3247,2910.4,873.12,,,
96,1,Very Good,3,F,VS1,4,6098,5434.3,1630.29,,,
97,0.36,Ideal,5,D,SI1,3,626,-87.82,-26.346,,,
98,1.1,Ideal,5,E,I1,1,3872,5229.8,1568.94,,,
99,1,Ideal,5,E,SI2,2,4760,4842.5,1452.75,,,
100,0.56,Fair,1,E,SI2,2,1389,508.38,152.514,,,
101,0.96,Very Good,3,D,SI2,2,3480,4189.78,1256.934,,,
102,0.37,Premium,4,E,VS2,5,692,746.21,223.863,,,
103,0.92,Ideal,5,D,SI1,3,5779,4623.46,1387.038,,,
104,0.33,Ideal,5,H,IF,8,959,1929.79,578.937,,,
105,0.51,Good,2,G,SI2,2,1129,245.83,73.749,,,
106,0.77,Ideal,5,D,VS1,4,4039,3815.51,1144.653,,,
107,0.41,Premium,4,F,VVS2,6,1192,1536.73,461.019,,,
108,0.44,Premium,4,E,SI2,2,1028,-26.88,-8.064,,,
109,1.24,Premium,4,F,SI1,3,7162,7157.52,2147.256,,,
110,0.57,Very Good,3,E,SI2,2,1384,908.71,272.613,,,
111,0.39,Premium,4,G,VVS2,6,1024,1368.47,410.541,,,
112,0.6,Ideal,5,F,VS1,4,2142,2385.3,715.59,,,
113,0.8,Premium,4,F,SI2,2,2447,3001.8,900.54,,,
114,1.01,Ideal,5,F,SI1,3,5486,5380.63,1614.189,,,
115,0.71,Ideal,5,I,SI1,3,2319,2856.73,857.019,,,
116,0.29,Very Good,3,G,VVS1,7,607,823.07,246.921,,,
117,0.38,Very Good,3,D,SI1,3,701,-235.76,-70.728,,,
118,0.91,Very Good,3,J,SI1,3,2905,4223.13,1266.939,,,
119,0.51,Ideal,5,G,VS2,5,1450,2082.13,624.639,,,
120,0.77,Premium,4,H,VS2,5,2546,4111.41,1233.423,,,
121,1.58,Premium,4,J,SI1,3,7654,10017.94,3005.382,,,
122,0.51,Ideal,5,F,VS2,5,1431,2082.13,624.639,,,
123,0.33,Ideal,5,F,VVS1,7,1141,1475.79,442.737,,,
124,0.7,Ideal,5,E,SI1,3,3330,2772.6,831.78,,,
125,1.51,Ideal,5,E,SI1,3,11628,9587.13,2876.139,,,
126,0.3,Premium,4,J,SI2,2,405,-1204.7,-361.41,,,
127,1.09,Premium,4,E,SI2,2,5127,5441.57,1632.471,,,
128,1.23,Ideal,5,I,VVS2,6,7256,8593.49,2578.047,,,
129,0.5,Ideal,5,I,SI1,3,1076,1090,327,,,
130,0.71,Premium,4,E,SI1,3,2554,2698.63,809.589,,,
131,0.72,Ideal,5,E,VS2,5,2691,3848.86,1154.658,,,
132,0.33,Premium,4,G,VS1,4,854,-44.31,-13.293,,,
133,1.52,Very Good,3,I,VS1,4,9576,9809.06,2942.718,,,
134,1.23,Ideal,5,G,VS1,4,9116,7685.49,2305.647,,,
135,0.54,Ideal,5,G,VVS2,6,1829,2788.52,836.556,,,
136,0.32,Ideal,5,F,VS2,5,828,483.66,145.098,,,
137,1.31,Premium,4,E,SI1,3,8767,7746.43,2323.929,,,
138,1.11,Ideal,5,D,SI2,2,5648,5767.93,1730.379,,,
139,1.03,Very Good,3,H,SI2,2,4283,4778.69,1433.607,,,
140,0.56,Ideal,5,J,VS2,5,1131,2502.78,750.834,,,
141,1.29,Very Good,3,H,SI2,2,5601,6966.07,2089.821,,,
142,0.53,Ideal,5,G,VS2,5,1577,2250.39,675.117,,,
143,1.7,Premium,4,I,VS2,5,11257,11935.5,3580.65,,,
144,0.3,Ideal,5,F,VS1,4,615,-138.6,-41.58,,,
145,0.32,Premium,4,H,VVS2,6,828,779.56,233.868,,,
146,1.51,Good,2,H,VS2,5,10763,10020.83,3006.249,,,
147,0.43,Ideal,5,E,SI1,3,1016,501.09,150.327,,,
148,0.3,Very Good,3,G,VS1,4,620,-454.8,-136.44,,,
149,3,Good,2,E,I1,1,11548,20740.2,6222.06,,,
150,0.75,Ideal,5,J,SI2,2,1944,2739.25,821.775,,,
151,0.9,Very Good,3,H,VVS2,6,4617,5501,1650.3,,,
152,0.58,Very Good,3,D,SI1,3,1785,1446.84,434.052,,,
153,1.01,Very Good,3,H,SI1,3,4619,5064.43,1519.329,,,
154,0.3,Good,2,F,VS2,5,484,-158.9,-47.67,,,
155,0.79,Ideal,5,E,SI1,3,3053,3529.77,1058.931,,,
156,0.71,Ideal,5,G,SI1,3,2233,2856.73,857.019,,,
157,1.01,Premium,4,G,SI1,3,4525,5222.53,1566.759,,,
158,1.01,Very Good,3,D,VVS2,6,10453,6426.43,1927.929,,,
159,1.01,Very Good,3,H,VS1,4,5687,5518.43,1655.529,,,
160,1.2,Premium,4,G,VS2,5,7795,7729,2318.7,,,
161,0.27,Very Good,3,D,VS1,4,470,-707.19,-212.157,,,
162,0.56,Ideal,5,I,VVS1,7,1616,3410.78,1023.234,,,
163,0.41,Ideal,5,E,VVS1,7,1431,2148.83,644.649,,,
164,0.72,Ideal,5,F,VVS2,6,3740,4302.86,1290.858,,,
165,0.55,Ideal,5,D,SI2,2,1363,1056.65,316.995,,,
166,0.41,Premium,4,D,SI1,3,1015,174.73,52.419,,,
167,0.3,Very Good,3,E,IF,8,1026,1361.2,408.36,,,
168,1.01,Ideal,5,G,VVS2,6,8252,6742.63,2022.789,,,
169,0.4,Very Good,3,E,SI2,2,611,-521.5,-156.45,,,
170,0.4,Premium,4,F,SI1,3,920,90.6,27.18,,,
171,0.31,Very Good,3,H,SI1,3,446,-824.67,-247.401,,,
172,0.39,Premium,4,G,VS2,5,787,914.47,274.341,,,
173,0.71,Very Good,3,H,SI1,3,2210,2540.53,762.159,,,
174,1.11,Ideal,5,E,SI2,2,5262,5767.93,1730.379,,,
175,1.02,Ideal,5,F,VS2,5,6479,6372.76,1911.828,,,
176,0.33,Very Good,3,E,VS1,4,886,-202.41,-60.723,,,
177,2.2,Premium,4,G,SI1,3,18193,15234,4570.2,,,
178,2.02,Fair,1,H,SI2,2,14080,12791.36,3837.408,,,
179,0.56,Very Good,3,F,SI1,3,1436,1278.58,383.574,,,
180,1.08,Ideal,5,D,VS1,4,9545,6423.54,1927.062,,,
181,1.51,Premium,4,G,SI1,3,10739,9429.03,2828.709,,,
182,1.15,Very Good,3,G,SI1,3,5538,6242.25,1872.675,,,
183,1.25,Premium,4,I,VS2,5,5975,8149.65,2444.895,,,
184,0.4,Ideal,5,G,VVS1,7,995,2064.7,619.41,,,
185,0.76,Premium,4,E,SI2,2,2688,2665.28,799.584,,,
186,1.01,Premium,4,E,VS1,4,7964,5676.53,1702.959,,,
187,1.2,Premium,4,I,SI2,2,4989,6367,1910.1,,,
188,1.34,Premium,4,J,VS2,5,5778,8906.82,2672.046,,,
189,0.34,Premium,4,G,VS2,5,596,493.82,148.146,,,
190,0.53,Ideal,5,F,SI1,3,1363,1342.39,402.717,,,
191,0.35,Very Good,3,G,IF,8,1001,1781.85,534.555,,,
192,0.23,Good,2,E,VVS1,7,462,160.19,48.057,,,
193,1,Good,2,F,VS2,5,5606,5730.2,1719.06,,,
194,2.04,Premium,4,H,SI2,2,15760,13433.92,4030.176,,,
195,1.01,Very Good,3,I,SI1,3,4794,5064.43,1519.329,,,
196,0.31,Very Good,3,H,IF,8,778,1445.33,433.599,,,
197,0.41,Good,2,I,VS1,4,969,312.53,93.759,,,
198,1.11,Premium,4,F,VS2,5,7179,6971.83,2091.549,,,
199,1.05,Premium,4,E,SI2,2,4939,5105.05,1531.515,,,
200,0.51,Good,2,E,VS2,5,1424,1607.83,482.349,,,
201,0.38,Ideal,5,E,VVS2,6,1073,1442.44,432.732,,,
202,0.35,Ideal,5,I,SI2,2,580,-625.95,-187.785,,,
203,0.72,Very Good,3,F,VVS2,6,3338,3986.66,1195.998,,,
204,0.3,Ideal,5,E,SI1,3,499,-592.6,-177.78,,,
205,0.31,Very Good,3,F,VS2,5,625,83.33,24.999,,,
206,1.05,Ideal,5,G,VS2,5,7070,6625.15,1987.545,,,
207,0.38,Premium,4,I,VS2,5,812,830.34,249.102,,,
208,1,Premium,4,F,VS1,4,7056,5592.4,1677.72,,,
209,0.32,Very Good,3,I,VS2,5,449,167.46,50.238,,,
210,0.55,Very Good,3,D,SI2,2,1401,740.45,222.135,,,
211,0.56,Premium,4,D,VS2,5,1963,2344.68,703.404,,,
212,0.31,Premium,4,F,SI1,3,663,-666.57,-199.971,,,
213,0.33,Ideal,5,G,IF,8,946,1929.79,578.937,,,
214,1.72,Premium,4,H,SI2,2,10869,10741.76,3222.528,,,
215,1.01,Premium,4,E,VS1,4,6670,5676.53,1702.959,,,
216,2.02,Ideal,5,J,SI1,3,12713,13877.76,4163.328,,,
217,1.05,Ideal,5,E,VS1,4,9160,6171.15,1851.345,,,
218,0.24,Ideal,5,F,VVS2,6,540,264.62,79.386,,,
219,0.39,Good,2,D,VVS2,6,1255,1052.27,315.681,,,
220,0.32,Ideal,5,D,SI1,3,756,-424.34,-127.302,,,
221,0.32,Very Good,3,H,SI2,2,517,-1194.54,-358.362,,,
222,0.73,Ideal,5,H,SI1,3,2320,3024.99,907.497,,,
223,0.54,Premium,4,H,SI1,3,1240,1268.42,380.526,,,
224,0.52,Very Good,3,F,VS2,5,1607,1850.06,555.018,,,
225,0.5,Very Good,3,G,VVS2,6,1806,2135.8,640.74,,,
226,0.31,Ideal,5,E,VVS1,7,936,1307.53,392.259,,,
227,1.22,Very Good,3,I,SI2,2,5072,6377.16,1913.148,,,
228,1.27,Good,2,J,VS1,4,5588,7547.71,2264.313,,,
229,0.7,Good,2,E,VS1,4,3175,2752.3,825.69,,,
230,1.24,Premium,4,H,VS1,4,7222,7611.52,2283.456,,,
231,1.01,Premium,4,E,SI1,3,5599,5222.53,1566.759,,,
232,0.7,Very Good,3,D,SI1,3,3075,2456.4,736.92,,,
233,1.1,Very Good,3,G,SI1,3,4997,5821.6,1746.48,,,
234,0.3,Very Good,3,E,VS2,5,658,-0.8,-0.24,,,
235,1.51,Good,2,G,IF,8,14654,11382.83,3414.849,,,
236,1.7,Ideal,5,F,VS2,5,17360,12093.6,3628.08,,,
237,0.42,Ideal,5,G,IF,8,1289,2686.96,806.088,,,
238,0.36,Ideal,5,D,SI1,3,626,-87.82,-26.346,,,
239,0.74,Very Good,3,F,SI2,2,2298,2338.92,701.676,,,
240,0.61,Ideal,5,G,VS2,5,2286,2923.43,877.029,,,
241,0.55,Ideal,5,F,VS1,4,1896,1964.65,589.395,,,
242,1,Very Good,3,I,VS2,5,4739,5888.3,1766.49,,,
243,1.02,Ideal,5,H,SI2,2,4243,5010.76,1503.228,,,
244,1,Premium,4,H,VS1,4,4732,5592.4,1677.72,,,
245,0.33,Premium,4,F,VS2,5,854,409.69,122.907,,,
246,0.31,Premium,4,F,VS2,5,802,241.43,72.429,,,
247,1.16,Ideal,5,F,VS2,5,9432,7550.58,2265.174,,,
248,1.17,Ideal,5,G,SI2,2,5743,6272.71,1881.813,,,
249,0.62,Ideal,5,F,SI2,2,1364,1645.56,493.668,,,
250,0.31,Good,2,H,VS1,4,476,-528.77,-158.631,,,
251,0.41,Very Good,3,H,VVS1,7,991,1832.63,549.789,,,
252,1.04,Very Good,3,F,VS1,4,7207,5770.82,1731.246,,,
253,0.7,Ideal,5,F,SI1,3,2671,2772.6,831.78,,,
254,0.33,Very Good,3,H,VVS2,6,614,705.59,211.677,,,
255,1.5,Good,2,J,VS1,4,8347,9482.7,2844.81,,,
256,0.6,Ideal,5,F,VVS2,6,2298,3293.3,987.99,,,
257,1.2,Ideal,5,H,VS2,5,7190,7887.1,2366.13,,,
258,0.31,Very Good,3,E,SI1,3,544,-824.67,-247.401,,,
259,0.7,Good,2,D,SI1,3,2681,2298.3,689.49,,,
260,1.2,Premium,4,F,VS1,4,9370,7275,2182.5,,,
261,0.37,Ideal,5,G,SI1,3,745,-3.69,-1.107,,,
262,0.42,Premium,4,F,SI1,3,773,258.86,77.658,,,
263,0.83,Ideal,5,J,VS2,5,2241,4774.29,1432.287,,,
264,0.3,Ideal,5,D,SI1,3,552,-592.6,-177.78,,,
265,0.32,Ideal,5,G,VVS1,7,732,1391.66,417.498,,,
266,0.34,Very Good,3,E,SI2,2,477,-1026.28,-307.884,,,
267,0.7,Very Good,3,G,VVS2,6,2905,3818.4,1145.52,,,
268,0.88,Very Good,3,F,VVS2,6,5052,5332.74,1599.822,,,
269,0.55,Ideal,5,H,VS1,4,1634,1964.65,589.395,,,
270,0.27,Ideal,5,H,VS1,4,464,-390.99,-117.297,,,
271,1.14,Premium,4,G,SI2,2,4884,5862.22,1758.666,,,
272,1.05,Ideal,5,I,SI1,3,4494,5717.15,1715.145,,,
273,0.3,Very Good,3,J,VS2,5,473,-0.8,-0.24,,,
274,1.5,Very Good,3,H,SI2,2,7365,8732.8,2619.84,,,
275,1.91,Premium,4,G,SI2,2,9038,12340.23,3702.069,,,
276,0.44,Premium,4,D,VS1,4,1232,881.12,264.336,,,
277,1.07,Very Good,3,E,SI2,2,4609,5115.21,1534.563,,,
278,0.5,Good,2,G,VVS2,6,1690,1977.7,593.31,,,
279,0.41,Premium,4,G,VS2,5,1061,1082.73,324.819,,,
280,0.7,Premium,4,I,VVS1,7,2536,4430.5,1329.15,,,
281,0.38,Ideal,5,H,VVS2,6,1031,1442.44,432.732,,,
282,1.25,Ideal,5,E,VVS1,7,13536,9215.75,2764.725,,,
283,0.5,Ideal,5,F,SI1,3,1374,1090,327,,,
284,0.24,Ideal,5,G,SI1,3,364,-1097.38,-329.214,,,
285,1.06,Very Good,3,E,SI2,2,4570,5031.08,1509.324,,,
286,0.83,Premium,4,G,SI1,3,2863,3708.19,1112.457,,,
287,0.3,Ideal,5,E,VVS2,6,766,769.4,230.82,,,
288,0.6,Very Good,3,G,VVS1,7,2528,3431.1,1029.33,,,
289,0.5,Fair,1,E,SI1,3,1176,457.6,137.28,,,
290,0.9,Very Good,3,H,SI2,2,3295,3685,1105.5,,,
291,0.3,Premium,4,H,VS1,4,675,-296.7,-89.01,,,
292,0.31,Premium,4,I,SI1,3,593,-666.57,-199.971,,,
293,1.56,Ideal,5,G,VS2,5,13787,10915.78,3274.734,,,
294,0.71,Ideal,5,F,VS2,5,3123,3764.73,1129.419,,,
295,1.51,Good,2,G,I1,1,3497,8204.83,2461.449,,,
296,1.01,Ideal,5,E,VS1,4,7528,5834.63,1750.389,,,
297,0.38,Ideal,5,H,VS2,5,680,988.44,296.532,,,
298,2,Premium,4,H,SI2,2,12940,13097.4,3929.22,,,
299,1.03,Premium,4,E,VS2,5,6460,6298.79,1889.637,,,
300,0.52,Very Good,3,F,VS1,4,1748,1396.06,418.818,,,
301,0.39,Ideal,5,D,VS1,4,979,618.57,185.571,,,
302,2,Premium,4,E,SI2,2,12987,13097.4,3929.22,,,
303,0.3,Premium,4,H,VVS2,6,605,611.3,183.39,,,
304,1.01,Premium,4,E,SI1,3,5599,5222.53,1566.759,,,
305,0.31,Premium,4,G,VVS1,7,816,1149.43,344.829,,,
306,1.12,Ideal,5,D,VS2,5,8430,7214.06,2164.218,,,
307,0.3,Ideal,5,F,VS2,5,605,315.4,94.62,,,
308,0.4,Premium,4,F,VVS2,6,1088,1452.6,435.78,,,
309,0.9,Premium,4,G,SI1,3,3669,4297.1,1289.13,,,
310,0.71,Premium,4,H,VS2,5,2363,3606.63,1081.989,,,
311,0.54,Premium,4,G,SI1,3,1241,1268.42,380.526,,,
312,0.9,Ideal,5,D,SI1,3,4612,4455.2,1336.56,,,
313,0.79,Very Good,3,H,SI2,2,2348,2759.57,827.871,,,
314,1.6,Ideal,5,F,SI1,3,13140,10344.3,3103.29,,,
315,1.03,Very Good,3,G,SI2,2,4374,4778.69,1433.607,,,
316,0.55,Premium,4,E,SI2,2,1134,898.55,269.565,,,
317,0.8,Ideal,5,H,VVS1,7,3732,5429.9,1628.97,,,
318,0.41,Ideal,5,I,VVS1,7,875,2148.83,644.649,,,
319,0.26,Premium,4,H,VS1,4,382,-633.22,-189.966,,,
320,0.31,Very Good,3,G,VS2,5,544,83.33,24.999,,,
321,1.09,Very Good,3,F,SI2,2,4629,5283.47,1585.041,,,
322,0.3,Premium,4,D,VS2,5,911,157.3,47.19,,,
323,1.11,Ideal,5,I,SI1,3,4273,6221.93,1866.579,,,
324,0.62,Ideal,5,H,IF,8,2469,4369.56,1310.868,,,
325,0.59,Premium,4,I,VVS1,7,1837,3505.07,1051.521,,,
326,0.56,Ideal,5,F,VS2,5,1723,2502.78,750.834,,,
327,0.57,Very Good,3,D,IF,8,4032,3632.71,1089.813,,,
328,1,Premium,4,F,SI1,3,5292,5138.4,1541.52,,,
329,1.04,Ideal,5,G,VVS2,6,6173,6995.02,2098.506,,,
330,0.7,Fair,1,E,SI1,3,2000,2140.2,642.06,,,
331,0.7,Ideal,5,E,SI1,3,2407,2772.6,831.78,,,
332,1.13,Premium,4,E,SI1,3,5012,6232.09,1869.627,,,
333,1.51,Premium,4,D,VS1,4,17936,9883.03,2964.909,,,
334,0.71,Very Good,3,E,SI1,3,2455,2540.53,762.159,,,
335,0.43,Premium,4,D,SI1,3,1064,342.99,102.897,,,
336,0.55,Ideal,5,F,SI1,3,1368,1510.65,453.195,,,
337,1.54,Premium,4,G,SI2,2,8969,9227.42,2768.226,,,
338,1,Very Good,3,E,SI2,2,4620,4526.3,1357.89,,,
339,2.5,Fair,1,J,SI2,2,14652,16829.6,5048.88,,,
340,1,Good,2,I,VS2,5,4761,5730.2,1719.06,,,
341,1.01,Ideal,5,G,SI2,2,4783,4926.63,1477.989,,,
342,1.02,Premium,4,D,SI2,2,4718,4852.66,1455.798,,,
343,0.32,Premium,4,I,VS1,4,505,-128.44,-38.532,,,
344,1.71,Good,2,J,SI2,2,7508,10341.43,3102.429,,,
345,0.31,Ideal,5,H,VVS1,7,707,1307.53,392.259,,,
346,0.33,Ideal,5,G,IF,8,946,1929.79,578.937,,,
347,0.52,Very Good,3,E,SI1,3,1438,942.06,282.618,,,
348,1.5,Ideal,5,H,SI1,3,11189,9503,2850.9,,,
349,0.3,Premium,4,I,VS1,4,567,-296.7,-89.01,,,
350,0.3,Premium,4,G,VVS2,6,878,611.3,183.39,,,
351,0.5,Good,2,D,VS1,4,1795,1069.7,320.91,,,
352,0.52,Ideal,5,G,VVS1,7,2065,3074.26,922.278,,,
353,0.47,Good,2,E,VVS1,7,1613,2179.31,653.793,,,
354,1.3,Ideal,5,F,SI2,2,6559,7366.4,2209.92,,,
355,0.31,Ideal,5,G,IF,8,871,1761.53,528.459,,,
356,0.34,Very Good,3,D,SI1,3,626,-572.28,-171.684,,,
357,1.01,Ideal,5,F,SI2,2,3777,4926.63,1477.989,,,
358,0.64,Ideal,5,D,VVS1,7,4281,4083.82,1225.146,,,
359,0.31,Good,2,H,VS2,5,489,-74.77,-22.431,,,
360,0.7,Premium,4,F,SI1,3,2196,2614.5,784.35,,,
361,0.7,Premium,4,F,VVS2,6,3062,3976.5,1192.95,,,
362,1.17,Ideal,5,G,VVS2,6,9225,8088.71,2426.613,,,
363,0.26,Very Good,3,E,VVS2,6,564,116.68,35.004,,,
364,1,Good,2,E,VVS1,7,7084,6638.2,1991.46,,,
365,0.4,Ideal,5,I,VS2,5,667,1156.7,347.01,,,
366,1,Fair,1,F,SI1,3,4657,4664.1,1399.23,,,
367,0.47,Premium,4,G,VS2,5,1102,1587.51,476.253,,,
368,0.34,Ideal,5,F,VS1,4,745,197.92,59.376,,,
369,0.33,Good,2,I,VVS2,6,579,547.49,164.247,,,
370,0.52,Very Good,3,E,VS2,5,1670,1850.06,555.018,,,
371,1.02,Ideal,5,H,VVS2,6,6797,6826.76,2048.028,,,
372,1.71,Premium,4,I,VS1,4,10055,11565.63,3469.689,,,
373,1.01,Ideal,5,D,SI1,3,6257,5380.63,1614.189,,,
374,1.4,Premium,4,H,SI1,3,8624,8503.6,2551.08,,,
375,1.05,Ideal,5,G,SI1,3,5192,5717.15,1715.145,,,
376,0.32,Ideal,5,E,IF,8,1018,1845.66,553.698,,,
377,1.21,Ideal,5,H,SI2,2,5624,6609.23,1982.769,,,
378,1.14,Ideal,5,H,SI1,3,5501,6474.32,1942.296,,,
379,0.4,Very Good,3,J,VS1,4,606,386.5,115.95,,,
380,1.01,Very Good,3,I,SI1,3,4185,5064.43,1519.329,,,
381,0.4,Premium,4,D,VS1,4,1200,544.6,163.38,,,
382,1.52,Fair,1,J,SI2,2,5916,8584.86,2575.458,,,
383,0.76,Premium,4,E,SI1,3,2814,3119.28,935.784,,,
384,0.5,Ideal,5,G,SI2,2,1011,636,190.8,,,
385,0.28,Ideal,5,D,VVS1,7,780,1055.14,316.542,,,
