id,carat,cut,cut_ord,color,clarity,clarity_ord,retail_price,company_price,retail_price_if_1_carat_more,diff_btwn_carats,carat_squared,,Linear Regression model - provides an equation to use to predict the prices.,,,,,,,"1.    According to the model, if a diamond is 1 carat heavier than another with the same cut, how much more should I expect to pay? Why?"
667,0.24,Ideal,5,G,VS1,4,-643.38,-193.014,7769.62,8413,-2653.7504,,,,,,,,,
670,0.24,Very Good,3,E,VVS1,7,402.42,120.726,8815.42,8413,-1607.9504,,,,,,,,,
906,0.24,Very Good,3,E,VVS2,6,-51.58,-15.474,8361.42,8413,-2061.9504,,,,,,,,,
927,0.24,Very Good,3,E,VS1,4,-959.58,-287.874,7453.42,8413,-2969.9504,,,,,,,,,
1081,0.24,Good,2,F,VVS1,7,244.32,73.296,8657.32,8413,-1766.0504,,,,,,,,,
1280,0.24,Good,2,F,VS1,4,-1117.68,-335.304,7295.32,8413,-3128.0504,,,,,,,,,
1749,0.24,Very Good,3,J,VVS2,6,-51.58,-15.474,8361.42,8413,-2061.9504,,,,,,,,,
1882,0.24,Ideal,5,F,IF,8,1172.62,351.786,9585.62,8413,-837.7503997,,,,,,,,,
2158,0.24,Very Good,3,F,VVS1,7,402.42,120.726,8815.42,8413,-1607.9504,,,,,,,,,
65,0.25,Very Good,3,E,VVS2,6,32.55,9.765,8445.55,8413,-2061.122818,,,,,,,,,
78,0.25,Good,2,E,VVS2,6,-125.55,-37.665,8287.45,8413,-2219.222818,,,,,,,,,
511,0.25,Ideal,5,G,VVS1,7,802.75,240.825,9215.75,8413,-1290.922818,,,,,,,,,
522,0.25,Ideal,5,H,VS1,4,-559.25,-167.775,7853.75,8413,-2652.922818,,,,,,,,,
630,0.25,Very Good,3,F,VVS1,7,486.55,145.965,8899.55,8413,-1607.122818,,,,,,,,,
750,0.25,Premium,4,E,VVS2,6,190.65,57.195,8603.65,8413,-1903.022818,,,,,,,,,
1159,0.25,Premium,4,H,VVS1,7,644.65,193.395,9057.65,8413,-1449.022818,,,,,,,,,
1278,0.25,Very Good,3,F,IF,8,940.55,282.165,9353.55,8413,-1153.122818,,,,,,,,,
1811,0.25,Very Good,3,H,VVS2,6,32.55,9.765,8445.55,8413,-2061.122818,,,,,,,,,
1861,0.25,Premium,4,E,VVS2,6,190.65,57.195,8603.65,8413,-1903.022818,,,,Plot 2 - Plot the data for the diamonds for which you are predicting prices with carat on the x-axis and predicted price on the y-axis. ,,,,,
2030,0.25,Very Good,3,G,VS2,5,-421.45,-126.435,7991.55,8413,-2515.122818,,,,o   Note: You can also plot both sets of data on the same chart in different colors.,,,,,
2110,0.25,Ideal,5,I,VS2,5,-105.25,-31.575,8307.75,8413,-2198.922818,,,,,,,,,
2421,0.25,Very Good,3,D,VVS2,6,32.55,9.765,8445.55,8413,-2061.122818,,,,,,,,,
2687,0.25,Very Good,3,D,VVS2,6,32.55,9.765,8445.55,8413,-2061.122818,,,,,,,,,
94,0.26,Very Good,3,F,VVS2,6,116.68,35.004,8529.68,8413,-2060.21696,,,,,,,,,
508,0.26,Very Good,3,E,VVS1,7,570.68,171.204,8983.68,8413,-1606.21696,,,,,,,,,
1201,0.26,Very Good,3,G,VS2,5,-337.32,-101.196,8075.68,8413,-2514.21696,,,,,,,,,
1508,0.26,Very Good,3,F,VVS1,7,570.68,171.204,8983.68,8413,-1606.21696,,,,,,,,,
1535,0.26,Ideal,5,I,VS2,5,-21.12,-6.336,8391.88,8413,-2198.01696,,,,,,,,,
1602,0.26,Premium,4,H,VVS2,6,274.78,82.434,8687.78,8413,-1902.11696,,,,,,,,,
1796,0.26,Ideal,5,H,VS1,4,-475.12,-142.536,7937.88,8413,-2652.01696,,,,,,,,,
2457,0.26,Premium,4,H,VVS1,7,728.78,218.634,9141.78,8413,-1448.11696,,,,,,,,,
2463,0.26,Very Good,3,F,VS1,4,-791.32,-237.396,7621.68,8413,-2968.21696,,,,,,,,,
2749,0.26,Ideal,5,H,VS1,4,-475.12,-142.536,7937.88,8413,-2652.01696,,,,,,,,,
2806,0.26,Very Good,3,G,VS1,4,-791.32,-237.396,7621.68,8413,-2968.21696,,,,,,,,,
5,0.27,Ideal,5,H,VVS2,6,517.01,155.103,8930.01,8413,-1743.025422,,,,,,,,,
259,0.27,Ideal,5,E,VS1,4,-390.99,-117.297,8022.01,8413,-2651.025422,,,,,,,,,
432,0.27,Ideal,5,E,VS1,4,-390.99,-117.297,8022.01,8413,-2651.025422,,,,,,,,,
594,0.27,Ideal,5,E,VS1,4,-390.99,-117.297,8022.01,8413,-2651.025422,,,,,,,,,
673,0.27,Very Good,3,F,VVS1,7,654.81,196.443,9067.81,8413,-1605.225422,,,,,,,,,
736,0.27,Very Good,3,F,VVS1,7,654.81,196.443,9067.81,8413,-1605.225422,,,,,,,,,
956,0.27,Very Good,3,F,VS1,4,-707.19,-212.157,7705.81,8413,-2967.225422,,,,,,,,,
1231,0.27,Very Good,3,E,VVS2,6,200.81,60.243,8613.81,8413,-2059.225422,,,,,,,,,
1314,0.27,Very Good,3,E,VS2,5,-253.19,-75.957,8159.81,8413,-2513.225422,,,,,,,,,
1480,0.27,Ideal,5,I,IF,8,1425.01,427.503,9838.01,8413,-835.0254215,,,,,,,,,
1505,0.27,Premium,4,E,VS1,4,-549.09,-164.727,7863.91,8413,-2809.125422,,,,,,,,,
1738,0.27,Ideal,5,F,VVS1,7,971.01,291.303,9384.01,8413,-1289.025422,,,,,,,,,
1857,0.27,Ideal,5,E,VS2,5,63.01,18.903,8476.01,8413,-2197.025422,,,,,,,,,
1915,0.27,Very Good,3,G,VVS1,7,654.81,196.443,9067.81,8413,-1605.225422,,,,,,,,,
2101,0.27,Very Good,3,D,VS2,5,-253.19,-75.957,8159.81,8413,-2513.225422,,,,,,,,,
2151,0.27,Ideal,5,E,VS2,5,63.01,18.903,8476.01,8413,-2197.025422,,,,,,,,,
2928,0.27,Very Good,3,F,VVS1,7,654.81,196.443,9067.81,8413,-1605.225422,,,,,,,,,
2938,0.27,Very Good,3,G,VS1,4,-707.19,-212.157,7705.81,8413,-2967.225422,,,,,,,,,
186,0.28,Very Good,3,F,VVS2,6,284.94,85.482,8697.94,8413,-2058.140098,,,,,,,,,
218,0.28,Ideal,5,H,VS1,4,-306.86,-92.058,8106.14,8413,-2649.940098,,,,,,,,,
227,0.28,Very Good,3,E,VVS2,6,284.94,85.482,8697.94,8413,-2058.140098,,,,,,,,,
433,0.28,Very Good,3,H,SI1,3,-1077.06,-323.118,7335.94,8413,-3420.140098,,,,,,,,,
450,0.28,Very Good,3,E,VVS2,6,284.94,85.482,8697.94,8413,-2058.140098,,,,,,,,,
997,0.28,Very Good,3,G,VVS2,6,284.94,85.482,8697.94,8413,-2058.140098,,,,,,,,,
1170,0.28,Very Good,3,H,VVS1,7,738.94,221.682,9151.94,8413,-1604.140098,,,,,,,,,
1898,0.28,Ideal,5,D,VS2,5,147.14,44.142,8560.14,8413,-2195.940098,,,,,,,,,
2020,0.28,Ideal,5,E,VVS2,6,601.14,180.342,9014.14,8413,-1741.940098,,,,,,,,,
2307,0.28,Ideal,5,G,SI1,3,-760.86,-228.258,7652.14,8413,-3103.940098,,,,,,,,,
2564,0.28,Very Good,3,F,VVS2,6,284.94,85.482,8697.94,8413,-2058.140098,,,,,,,,,
2642,0.28,Very Good,3,D,VVS2,6,284.94,85.482,8697.94,8413,-2058.140098,,,,,,,,,
2671,0.28,Ideal,5,H,VVS2,6,601.14,180.342,9014.14,8413,-1741.940098,,,,,,,,,
2826,0.28,Very Good,3,E,VS1,4,-623.06,-186.918,7789.94,8413,-2966.140098,,,,,,,,,
2829,0.28,Very Good,3,E,VVS2,6,284.94,85.482,8697.94,8413,-2058.140098,,,,,,,,,
229,0.29,Ideal,5,G,IF,8,1593.27,477.981,10006.27,8413,-832.7521192,,,,,,,,,
234,0.29,Ideal,5,I,VS1,4,-222.73,-66.819,8190.27,8413,-2648.752119,,,,,,,,,
1625,0.29,Very Good,3,E,VS1,4,-538.93,-161.679,7874.07,8413,-2964.952119,,,,,,,,,
2629,0.29,Very Good,3,G,VVS2,6,369.07,110.721,8782.07,8413,-2056.952119,,,,,,,,,
14,0.3,Good,2,G,VS2,5,-158.9,-47.67,8254.1,8413,-2667.751775,,,,,,,,,
24,0.3,Very Good,3,G,IF,8,1361.2,408.36,9774.2,8413,-1147.651775,,,,,,,,,
68,0.3,Ideal,5,F,IF,8,1677.4,503.22,10090.4,8413,-831.4517753,,,,,,,,,
92,0.3,Very Good,3,D,VS2,5,-0.8,-0.24,8412.2,8413,-2509.651775,,,,,,,,,
136,0.3,Premium,4,H,SI1,3,-750.7,-225.21,7662.3,8413,-3259.551775,,,,,,,,,
154,0.3,Ideal,5,I,SI1,3,-592.6,-177.78,7820.4,8413,-3101.451775,,,,,,,,,
166,0.3,Very Good,3,G,VVS2,6,453.2,135.96,8866.2,8413,-2055.651775,,,,,,,,,
174,0.3,Premium,4,H,SI1,3,-750.7,-225.21,7662.3,8413,-3259.551775,,,,,,,,,
221,0.3,Ideal,5,F,VVS1,7,1223.4,367.02,9636.4,8413,-1285.451775,,,,,,,,,
240,0.3,Fair,1,D,VVS2,6,137,41.1,8550,8413,-2371.851775,,,,,,,,,
258,0.3,Ideal,5,F,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
275,0.3,Ideal,5,G,VS1,4,-138.6,-41.58,8274.4,8413,-2647.451775,,,,,,,,,
278,0.3,Good,2,G,IF,8,1203.1,360.93,9616.1,8413,-1305.751775,,,,,,,,,
297,0.3,Very Good,3,H,VVS1,7,907.2,272.16,9320.2,8413,-1601.651775,,,,,,,,,
333,0.3,Very Good,3,F,VVS1,7,907.2,272.16,9320.2,8413,-1601.651775,,,,,,,,,
334,0.3,Ideal,5,H,SI1,3,-592.6,-177.78,7820.4,8413,-3101.451775,,,,,,,,,
337,0.3,Ideal,5,H,VVS1,7,1223.4,367.02,9636.4,8413,-1285.451775,,,,,,,,,
354,0.3,Premium,4,H,VS1,4,-296.7,-89.01,8116.3,8413,-2805.551775,,,,,,,,,
356,0.3,Premium,4,D,VS2,5,157.3,47.19,8570.3,8413,-2351.551775,,,,,,,,,
357,0.3,Premium,4,H,VS1,4,-296.7,-89.01,8116.3,8413,-2805.551775,,,,,,,,,
376,0.3,Ideal,5,F,SI1,3,-592.6,-177.78,7820.4,8413,-3101.451775,,,,,,,,,
381,0.3,Very Good,3,E,SI1,3,-908.8,-272.64,7504.2,8413,-3417.651775,,,,,,,,,
416,0.3,Ideal,5,F,VS1,4,-138.6,-41.58,8274.4,8413,-2647.451775,,,,,,,,,
431,0.3,Ideal,5,I,VS1,4,-138.6,-41.58,8274.4,8413,-2647.451775,,,,,,,,,
462,0.3,Ideal,5,D,VS1,4,-138.6,-41.58,8274.4,8413,-2647.451775,,,,,,,,,
470,0.3,Ideal,5,G,VS1,4,-138.6,-41.58,8274.4,8413,-2647.451775,,,,,,,,,
477,0.3,Premium,4,F,VS2,5,157.3,47.19,8570.3,8413,-2351.551775,,,,,,,,,
483,0.3,Very Good,3,G,VS1,4,-454.8,-136.44,7958.2,8413,-2963.651775,,,,,,,,,
485,0.3,Ideal,5,E,VVS2,6,769.4,230.82,9182.4,8413,-1739.451775,,,,,,,,,
498,0.3,Ideal,5,E,VVS2,6,769.4,230.82,9182.4,8413,-1739.451775,,,,,,,,,
535,0.3,Ideal,5,H,IF,8,1677.4,503.22,10090.4,8413,-831.4517753,,,,,,,,,
543,0.3,Ideal,5,E,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
545,0.3,Ideal,5,E,SI2,2,-1046.6,-313.98,7366.4,8413,-3555.451775,,,,,,,,,
571,0.3,Very Good,3,H,VS2,5,-0.8,-0.24,8412.2,8413,-2509.651775,,,,,,,,,
593,0.3,Ideal,5,G,IF,8,1677.4,503.22,10090.4,8413,-831.4517753,,,,,,,,,
613,0.3,Good,2,H,VS1,4,-612.9,-183.87,7800.1,8413,-3121.751775,,,,,,,,,
675,0.3,Premium,4,G,VVS2,6,611.3,183.39,9024.3,8413,-1897.551775,,,,,,,,,
729,0.3,Premium,4,D,SI2,2,-1204.7,-361.41,7208.3,8413,-3713.551775,,,,,,,,,
744,0.3,Ideal,5,F,IF,8,1677.4,503.22,10090.4,8413,-831.4517753,,,,,,,,,
757,0.3,Good,2,G,VVS2,6,295.1,88.53,8708.1,8413,-2213.751775,,,,,,,,,
758,0.3,Ideal,5,G,VS1,4,-138.6,-41.58,8274.4,8413,-2647.451775,,,,,,,,,
802,0.3,Very Good,3,H,VS2,5,-0.8,-0.24,8412.2,8413,-2509.651775,,,,,,,,,
823,0.3,Good,2,F,VS2,5,-158.9,-47.67,8254.1,8413,-2667.751775,,,,,,,,,
830,0.3,Very Good,3,E,SI1,3,-908.8,-272.64,7504.2,8413,-3417.651775,,,,,,,,,
840,0.3,Premium,4,G,VVS2,6,611.3,183.39,9024.3,8413,-1897.551775,,,,,,,,,
841,0.3,Ideal,5,E,VS1,4,-138.6,-41.58,8274.4,8413,-2647.451775,,,,,,,,,
843,0.3,Premium,4,G,VVS2,6,611.3,183.39,9024.3,8413,-1897.551775,,,,,,,,,
852,0.3,Ideal,5,D,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
877,0.3,Good,2,I,IF,8,1203.1,360.93,9616.1,8413,-1305.751775,,,,,,,,,
907,0.3,Very Good,3,E,SI1,3,-908.8,-272.64,7504.2,8413,-3417.651775,,,,,,,,,
921,0.3,Premium,4,D,VS2,5,157.3,47.19,8570.3,8413,-2351.551775,,,,,,,,,
939,0.3,Ideal,5,F,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
940,0.3,Premium,4,G,VS1,4,-296.7,-89.01,8116.3,8413,-2805.551775,,,,,,,,,
950,0.3,Ideal,5,H,VVS1,7,1223.4,367.02,9636.4,8413,-1285.451775,,,,,,,,,
966,0.3,Good,2,I,VS1,4,-612.9,-183.87,7800.1,8413,-3121.751775,,,,,,,,,
968,0.3,Ideal,5,E,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
1027,0.3,Premium,4,F,VS2,5,157.3,47.19,8570.3,8413,-2351.551775,,,,,,,,,
1051,0.3,Ideal,5,I,SI1,3,-592.6,-177.78,7820.4,8413,-3101.451775,,,,,,,,,
1058,0.3,Premium,4,H,VS1,4,-296.7,-89.01,8116.3,8413,-2805.551775,,,,,,,,,
1093,0.3,Premium,4,G,IF,8,1519.3,455.79,9932.3,8413,-989.5517753,,,,,,,,,
1122,0.3,Very Good,3,G,VVS1,7,907.2,272.16,9320.2,8413,-1601.651775,,,,,,,,,
1129,0.3,Very Good,3,H,VS1,4,-454.8,-136.44,7958.2,8413,-2963.651775,,,,,,,,,
1131,0.3,Ideal,5,F,IF,8,1677.4,503.22,10090.4,8413,-831.4517753,,,,,,,,,
1141,0.3,Very Good,3,D,VS2,5,-0.8,-0.24,8412.2,8413,-2509.651775,,,,,,,,,
1185,0.3,Premium,4,G,VS1,4,-296.7,-89.01,8116.3,8413,-2805.551775,,,,,,,,,
1214,0.3,Ideal,5,I,SI2,2,-1046.6,-313.98,7366.4,8413,-3555.451775,,,,,,,,,
1219,0.3,Ideal,5,E,VVS1,7,1223.4,367.02,9636.4,8413,-1285.451775,,,,,,,,,
1235,0.3,Premium,4,E,VVS2,6,611.3,183.39,9024.3,8413,-1897.551775,,,,,,,,,
1237,0.3,Good,2,H,SI2,2,-1520.9,-456.27,6892.1,8413,-4029.751775,,,,,,,,,
1265,0.3,Ideal,5,F,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
1281,0.3,Premium,4,E,SI1,3,-750.7,-225.21,7662.3,8413,-3259.551775,,,,,,,,,
1289,0.3,Very Good,3,H,VS1,4,-454.8,-136.44,7958.2,8413,-2963.651775,,,,,,,,,
1292,0.3,Ideal,5,I,VVS1,7,1223.4,367.02,9636.4,8413,-1285.451775,,,,,,,,,
1308,0.3,Very Good,3,J,VS2,5,-0.8,-0.24,8412.2,8413,-2509.651775,,,,,,,,,
1367,0.3,Ideal,5,F,VVS1,7,1223.4,367.02,9636.4,8413,-1285.451775,,,,,,,,,
1448,0.3,Very Good,3,D,SI1,3,-908.8,-272.64,7504.2,8413,-3417.651775,,,,,,,,,
1468,0.3,Premium,4,D,VS2,5,157.3,47.19,8570.3,8413,-2351.551775,,,,,,,,,
1492,0.3,Good,2,E,VS2,5,-158.9,-47.67,8254.1,8413,-2667.751775,,,,,,,,,
1497,0.3,Ideal,5,F,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
1513,0.3,Ideal,5,E,VVS1,7,1223.4,367.02,9636.4,8413,-1285.451775,,,,,,,,,
1523,0.3,Ideal,5,E,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
1590,0.3,Very Good,3,D,SI2,2,-1362.8,-408.84,7050.2,8413,-3871.651775,,,,,,,,,
1633,0.3,Ideal,5,I,VS1,4,-138.6,-41.58,8274.4,8413,-2647.451775,,,,,,,,,
1661,0.3,Premium,4,J,VS1,4,-296.7,-89.01,8116.3,8413,-2805.551775,,,,,,,,,
1679,0.3,Premium,4,G,VVS2,6,611.3,183.39,9024.3,8413,-1897.551775,,,,,,,,,
1691,0.3,Ideal,5,H,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
1694,0.3,Good,2,I,VVS1,7,749.1,224.73,9162.1,8413,-1759.751775,,,,,,,,,
1695,0.3,Ideal,5,G,IF,8,1677.4,503.22,10090.4,8413,-831.4517753,,,,,,,,,
1710,0.3,Good,2,F,VVS1,7,749.1,224.73,9162.1,8413,-1759.751775,,,,,,,,,
1722,0.3,Premium,4,D,SI1,3,-750.7,-225.21,7662.3,8413,-3259.551775,,,,,,,,,
1724,0.3,Ideal,5,D,SI1,3,-592.6,-177.78,7820.4,8413,-3101.451775,,,,,,,,,
1739,0.3,Very Good,3,G,SI1,3,-908.8,-272.64,7504.2,8413,-3417.651775,,,,,,,,,
1767,0.3,Ideal,5,E,SI1,3,-592.6,-177.78,7820.4,8413,-3101.451775,,,,,,,,,
1804,0.3,Ideal,5,H,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
1810,0.3,Ideal,5,H,VS1,4,-138.6,-41.58,8274.4,8413,-2647.451775,,,,,,,,,
1813,0.3,Very Good,3,I,IF,8,1361.2,408.36,9774.2,8413,-1147.651775,,,,,,,,,
1818,0.3,Very Good,3,F,VVS1,7,907.2,272.16,9320.2,8413,-1601.651775,,,,,,,,,
1839,0.3,Ideal,5,H,VS1,4,-138.6,-41.58,8274.4,8413,-2647.451775,,,,,,,,,
1842,0.3,Ideal,5,G,VS1,4,-138.6,-41.58,8274.4,8413,-2647.451775,,,,,,,,,
1862,0.3,Ideal,5,H,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
1869,0.3,Ideal,5,G,VVS1,7,1223.4,367.02,9636.4,8413,-1285.451775,,,,,,,,,
1897,0.3,Ideal,5,H,SI1,3,-592.6,-177.78,7820.4,8413,-3101.451775,,,,,,,,,
1900,0.3,Ideal,5,F,IF,8,1677.4,503.22,10090.4,8413,-831.4517753,,,,,,,,,
1931,0.3,Very Good,3,G,VVS1,7,907.2,272.16,9320.2,8413,-1601.651775,,,,,,,,,
1938,0.3,Ideal,5,E,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
1942,0.3,Ideal,5,D,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
1953,0.3,Good,2,G,VVS2,6,295.1,88.53,8708.1,8413,-2213.751775,,,,,,,,,
1976,0.3,Ideal,5,E,VVS1,7,1223.4,367.02,9636.4,8413,-1285.451775,,,,,,,,,
1994,0.3,Good,2,D,VS2,5,-158.9,-47.67,8254.1,8413,-2667.751775,,,,,,,,,
2049,0.3,Ideal,5,D,VS1,4,-138.6,-41.58,8274.4,8413,-2647.451775,,,,,,,,,
2088,0.3,Ideal,5,E,SI1,3,-592.6,-177.78,7820.4,8413,-3101.451775,,,,,,,,,
2103,0.3,Very Good,3,I,VS2,5,-0.8,-0.24,8412.2,8413,-2509.651775,,,,,,,,,
2111,0.3,Ideal,5,G,VVS1,7,1223.4,367.02,9636.4,8413,-1285.451775,,,,,,,,,
2131,0.3,Good,2,E,VVS2,6,295.1,88.53,8708.1,8413,-2213.751775,,,,,,,,,
2135,0.3,Ideal,5,H,VVS2,6,769.4,230.82,9182.4,8413,-1739.451775,,,,,,,,,
2146,0.3,Premium,4,E,VS1,4,-296.7,-89.01,8116.3,8413,-2805.551775,,,,,,,,,
2161,0.3,Very Good,3,J,VS1,4,-454.8,-136.44,7958.2,8413,-2963.651775,,,,,,,,,
2180,0.3,Ideal,5,E,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
2196,0.3,Ideal,5,G,SI2,2,-1046.6,-313.98,7366.4,8413,-3555.451775,,,,,,,,,
2231,0.3,Ideal,5,I,VVS2,6,769.4,230.82,9182.4,8413,-1739.451775,,,,,,,,,
2249,0.3,Ideal,5,H,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
2256,0.3,Ideal,5,G,IF,8,1677.4,503.22,10090.4,8413,-831.4517753,,,,,,,,,
2274,0.3,Ideal,5,E,VVS2,6,769.4,230.82,9182.4,8413,-1739.451775,,,,,,,,,
2331,0.3,Good,2,G,VS1,4,-612.9,-183.87,7800.1,8413,-3121.751775,,,,,,,,,
2370,0.3,Premium,4,J,VS2,5,157.3,47.19,8570.3,8413,-2351.551775,,,,,,,,,
2395,0.3,Ideal,5,E,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
2408,0.3,Very Good,3,H,VS2,5,-0.8,-0.24,8412.2,8413,-2509.651775,,,,,,,,,
2415,0.3,Ideal,5,I,SI1,3,-592.6,-177.78,7820.4,8413,-3101.451775,,,,,,,,,
2420,0.3,Premium,4,E,VS2,5,157.3,47.19,8570.3,8413,-2351.551775,,,,,,,,,
2437,0.3,Ideal,5,G,VVS2,6,769.4,230.82,9182.4,8413,-1739.451775,,,,,,,,,
2451,0.3,Ideal,5,I,SI1,3,-592.6,-177.78,7820.4,8413,-3101.451775,,,,,,,,,
2490,0.3,Ideal,5,D,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
2494,0.3,Very Good,3,I,SI1,3,-908.8,-272.64,7504.2,8413,-3417.651775,,,,,,,,,
2577,0.3,Ideal,5,D,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
2579,0.3,Premium,4,D,SI1,3,-750.7,-225.21,7662.3,8413,-3259.551775,,,,,,,,,
2580,0.3,Ideal,5,E,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
2616,0.3,Very Good,3,G,VVS2,6,453.2,135.96,8866.2,8413,-2055.651775,,,,,,,,,
2624,0.3,Premium,4,H,SI1,3,-750.7,-225.21,7662.3,8413,-3259.551775,,,,,,,,,
2657,0.3,Ideal,5,F,VVS2,6,769.4,230.82,9182.4,8413,-1739.451775,,,,,,,,,
2666,0.3,Ideal,5,D,SI1,3,-592.6,-177.78,7820.4,8413,-3101.451775,,,,,,,,,
2670,0.3,Very Good,3,G,SI1,3,-908.8,-272.64,7504.2,8413,-3417.651775,,,,,,,,,
2724,0.3,Ideal,5,J,IF,8,1677.4,503.22,10090.4,8413,-831.4517753,,,,,,,,,
2747,0.3,Very Good,3,I,VS1,4,-454.8,-136.44,7958.2,8413,-2963.651775,,,,,,,,,
2797,0.3,Good,2,G,VVS2,6,295.1,88.53,8708.1,8413,-2213.751775,,,,,,,,,
2836,0.3,Ideal,5,E,VVS1,7,1223.4,367.02,9636.4,8413,-1285.451775,,,,,,,,,
2845,0.3,Ideal,5,H,SI1,3,-592.6,-177.78,7820.4,8413,-3101.451775,,,,,,,,,
2848,0.3,Ideal,5,F,VVS2,6,769.4,230.82,9182.4,8413,-1739.451775,,,,,,,,,
2873,0.3,Very Good,3,J,VS1,4,-454.8,-136.44,7958.2,8413,-2963.651775,,,,,,,,,
2893,0.3,Very Good,3,I,SI1,3,-908.8,-272.64,7504.2,8413,-3417.651775,,,,,,,,,
2896,0.3,Ideal,5,D,SI1,3,-592.6,-177.78,7820.4,8413,-3101.451775,,,,,,,,,
2916,0.3,Very Good,3,E,VS1,4,-454.8,-136.44,7958.2,8413,-2963.651775,,,,,,,,,
2918,0.3,Ideal,5,G,VS1,4,-138.6,-41.58,8274.4,8413,-2647.451775,,,,,,,,,
2920,0.3,Premium,4,E,SI1,3,-750.7,-225.21,7662.3,8413,-3259.551775,,,,,,,,,
2926,0.3,Ideal,5,F,SI1,3,-592.6,-177.78,7820.4,8413,-3101.451775,,,,,,,,,
2937,0.3,Ideal,5,H,VVS2,6,769.4,230.82,9182.4,8413,-1739.451775,,,,,,,,,
2942,0.3,Premium,4,E,SI1,3,-750.7,-225.21,7662.3,8413,-3259.551775,,,,,,,,,
2954,0.3,Ideal,5,D,VS2,5,315.4,94.62,8728.4,8413,-2193.451775,,,,,,,,,
2981,0.3,Ideal,5,G,VVS2,6,769.4,230.82,9182.4,8413,-1739.451775,,,,,,,,,
